Input.image_url,Answer.tag1
101.png,develops into
104.png,develops
105.png,produces
111.png,produces
113.png,produces
114.png,life cycle of butterfly
338.png,frog cycle
339.png,produces
360.png,fossil
345.png,develops
346.png,leads to
347.png,develops
353.png,leads to
355.png,becomes
35.png,"develops, produces"
36.png,butterfly
37.png,produces
385.png,"produces, develops"
392.png,produces
393.png,produces
413.png,leads to
415.png,develops
42.png,develops
43.png,"produces, develops"
442.png,produces
445.png,produces
44.png,transitions
461.png,produces
469.png,"develops, produces, leads to"
472.png,cycle
49.png,produces
50.png,cycle of life
52.png,produces
574.png,produces
575.png,"turns into, metamorphose"
577.png,produces
582.png,develops
583.png,"frog,child"
584.png,develops
589.png,develops
590.png,develops
246.png,turn into
248.png,eats
284.png,eats
307.png,eats the smaller animals
419.png,eats
310.png,eats
303.png,eats
296.png,eats
323.png,eats
46.png,turn into
344.png,turn into
603.png,becomes
842.png,turn into
1446.png,turn into
2140.png,turn into
